,date,position,city,state,endorser,endorsee,endorser party,source,order,category,body,district,points_x,key,name,x,y,points_y,points_by_state
0,2019-02-06,past vice president,,MN,Walter Mondale,Amy Klobuchar,D,https://wadenapj.com/news/government-and-politics/4567736-mondale-backs-klobuchar-bid-former-vp-likes-senators-chances,,Past presidents and vice presidents,,,10,MN,Minnesota,4,2,63,39.0
1,2019-02-10,governor,,MN,Tim Walz,Amy Klobuchar,D,https://www.youtube.com/watch?v=EYXpQGKiZhM,,Governors,,,8,MN,Minnesota,4,2,63,39.0
2,2019-02-10,senator,,MN,Tina Smith,Amy Klobuchar,D,https://www.youtube.com/watch?v=EYXpQGKiZhM,,Senators,,,6,MN,Minnesota,4,2,63,39.0
3,2019-02-10,mayor,Minneapolis,MN,Jacob Frey,Amy Klobuchar,D,https://www.minnpost.com/national/2019/02/klobuchar-launches-2020-presidential-bid/,45.0,Mayors,,,3,MN,Minnesota,4,2,63,39.0
4,2019-02-10,representative,,MN,Angie Craig,Amy Klobuchar,D,https://twitter.com/AngieCraigMN/status/1094711099998507015,,Representatives,,2.0,3,MN,Minnesota,4,2,63,39.0
5,2019-02-10,representative,,MN,Dean Phillips,Amy Klobuchar,D,https://twitter.com/deanbphillips/status/1094723519366221827,,Representatives,,3.0,3,MN,Minnesota,4,2,63,39.0
6,2019-02-10,speaker,,MN,Melissa Hortman,Amy Klobuchar,D,https://www.facebook.com/MelissaHortman/photos/a.749130508478704/2179548155436925/,,State legislative leaders,House,,2,MN,Minnesota,4,2,63,39.0
7,2019-02-10,lieutenant governor,,MN,Peggy Flanagan,Amy Klobuchar,D,https://www.minnpost.com/national/2019/02/klobuchar-launches-2020-presidential-bid/,103.0,Statewide officeholders,,,2,MN,Minnesota,4,2,63,39.0
8,2019-02-10,state auditor,,MN,Julie Blaha,Amy Klobuchar,D,https://twitter.com/julieblaha/status/1094683488203296768,106.0,Statewide officeholders,,,2,MN,Minnesota,4,2,63,39.0
9,,mayor,St. Paul,MN,Melvin Carter,,D,,60.0,Mayors,,,3,MN,Minnesota,4,2,63,0.0
10,,representative,,MN,Betty McCollum,,D,,,Representatives,,4.0,3,MN,Minnesota,4,2,63,0.0
11,,representative,,MN,Ilhan Omar,,D,,,Representatives,,5.0,3,MN,Minnesota,4,2,63,0.0
12,,representative,,MN,Collin C. Peterson,,D,,,Representatives,,7.0,3,MN,Minnesota,4,2,63,0.0
13,,minority leader,,MN,Tom Bakk,,D,,,State legislative leaders,Senate,,2,MN,Minnesota,4,2,63,0.0
14,,secretary of state,,MN,Steve Simon,,D,,104.0,Statewide officeholders,,,2,MN,Minnesota,4,2,63,0.0
15,,attorney general,,MN,Keith Ellison,,D,,105.0,Statewide officeholders,,,2,MN,Minnesota,4,2,63,0.0
16,,DNC member,,MN,J.P. Barone,,D,,,DNC members,,,1,MN,Minnesota,4,2,63,0.0
17,,DNC member,,MN,Ron Harris,,D,,,DNC members,,,1,MN,Minnesota,4,2,63,0.0
18,,DNC member,,MN,Marge Hoffa,,D,,,DNC members,,,1,MN,Minnesota,4,2,63,0.0
19,,DNC member,,MN,Ken Martin,,D,,,DNC members,,,1,MN,Minnesota,4,2,63,0.0
20,,DNC member,,MN,Lori A. Sellner,,D,,,DNC members,,,1,MN,Minnesota,4,2,63,0.0
21,,DNC member,,MN,Elly Zaragoza,,D,,,DNC members,,,1,MN,Minnesota,4,2,63,0.0
22,2019-02-15,governor,,CA,Gavin Newsom,Kamala Harris,D,https://www.politico.com/story/2019/02/15/gavin-newsom-endorses-kamala-harris-2020-1173317,,Governors,,,8,CA,California,0,4,230,43.0
23,2019-01-03,senator,,CA,Dianne Feinstein,Joe Biden,D,https://www.politico.com/story/2019/01/03/dianne-feinstein-2020-pick-joe-biden-1079024,,Senators,,,6,CA,California,0,4,230,6.0
24,2019-01-27,mayor,San Francisco,CA,London Breed,Kamala Harris,D,https://www.politico.com/newsletters/california-playbook/2019/01/28/kamala-launches-on-her-home-turf-trump-renews-california-lie-newsom-intensifies-housing-battle-shutdown-victory-boosts-pelosi-data-privacy-20-fight-powers-up-382254,13.0,Mayors,,,3,CA,California,0,4,230,43.0
25,2019-01-27,mayor,Oakland,CA,Libby Schaaf,Kamala Harris,D,https://www.mercurynews.com/2019/01/27/kamala-harris-president-oakland-rally-campaign-kickoff/,44.0,Mayors,,,3,CA,California,0,4,230,43.0
26,2019-02-14,representative,,CA,Barbara Lee,Kamala Harris,D,https://www.cnn.com/2019/02/14/politics/kamala-harris-barbara-lee-cbc/index.html,,Representatives,,13.0,3,CA,California,0,4,230,43.0
27,2019-02-21,representative,,CA,Ro Khanna,Bernie Sanders,D,https://www.sfchronicle.com/politics/article/Bernie-Sanders-enlists-Ro-Khanna-for-presidential-13635537.php,,Representatives,,17.0,3,CA,California,0,4,230,3.0
28,2019-01-29,representative,,CA,Katie Hill,Kamala Harris,D,https://thehill.com/homenews/campaign/427595-freshman-dem-endorses-harriss-2020-bid,,Representatives,,25.0,3,CA,California,0,4,230,43.0
29,2019-02-28,representative,,CA,Julia Brownley,Kamala Harris,D,https://www.nbclosangeles.com/news/local/Rep-Julia-Brownley-Endorses-Kamala-Harris-for-President-506459851.html,,Representatives,,26.0,3,CA,California,0,4,230,43.0
30,2019-01-28,representative,,CA,Ted Lieu,Kamala Harris,D,https://thehill.com/homenews/house/427255-ted-lieu-endorses-kamala-harris-for-president-she-embraces-the-future,,Representatives,,33.0,3,CA,California,0,4,230,43.0
31,2019-01-29,representative,,CA,Nanette Diaz Barragán,Kamala Harris,D,https://twitter.com/Nanette4CA/status/1090386597604978689,,Representatives,,44.0,3,CA,California,0,4,230,43.0
32,2019-02-27,representative,,CA,Juan Vargas,John Delaney,D,https://twitter.com/danielmarans/status/1100868238085406720,,Representatives,,51.0,3,CA,California,0,4,230,3.0
33,2019-02-07,president pro tem,,CA,Toni Atkins,Kamala Harris,D,https://www.politico.com/story/2019/02/07/kamala-harris-2020-california-endorsments-1157651,,State legislative leaders,Senate,,2,CA,California,0,4,230,43.0
34,2019-01-27,lieutenant governor,,CA,Eleni Kounalakis,Kamala Harris,D,https://twitter.com/EleniForCA/status/1089628133228109824,19.0,Statewide officeholders,,,2,CA,California,0,4,230,43.0
35,2019-02-26,secretary of state,,CA,Alex Padilla,Kamala Harris,D,https://www.politico.com/amp/story/2019/02/26/kamala-harris-california-1186389,20.0,Statewide officeholders,,,2,CA,California,0,4,230,43.0
