endorsee,DNC members,Former party leaders,Governors,Mayors,Past presidents and vice presidents,Representatives,Senators,State legislative leaders,Statewide officeholders
Amy Klobuchar,0.0,5.0,8.0,3.0,10.0,6.0,6.0,2.0,4.0
Bernie Sanders,3.0,0.0,0.0,3.0,0.0,6.0,6.0,0.0,2.0
Cory Booker,2.0,0.0,8.0,0.0,0.0,33.0,6.0,4.0,2.0
Elizabeth Warren,0.0,0.0,0.0,0.0,0.0,9.0,6.0,2.0,0.0
Jay Inslee,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
Joe Biden,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
John Delaney,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Julian Castro,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0
Kamala Harris,3.0,0.0,8.0,6.0,0.0,15.0,0.0,2.0,10.0
Michael Bloomberg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
